Country,City,Lat,Lon,Date,Max Temp (F),Humidities %,Cloudinesses,Wind Speed
ID,Biak,-0.9131,122.8766,1614229973,83.89,68,100,2.59
GB,Margate,51.3813,1.3862,1614229911,49.87,72,88,1.99
RU,Berdigestyakh,62.0989,126.6992,1614230002,-10.53,87,84,1.45
CN,Ürümqi,43.801,87.6005,1614230003,30.2,80,75,4.47
AU,Howard Springs,-12.497,131.047,1614230004,84.2,70,75,5.75
RU,Talnakh,69.4865,88.3972,1614230006,-27.56,82,17,3.62
GL,Nuuk,64.1835,-51.7216,1614229886,19.2,68,20,13.8
PH,Gigmoto,13.7796,124.39,1614229817,84.47,61,43,6.15
TR,Şebinkarahisar,40.2883,38.4236,1614230010,17.38,89,18,4.12
PG,Panguna,-6.3164,155.4848,1614230011,73.02,94,100,2.62
AU,Ulladulla,-35.35,150.4667,1614230013,75.99,65,40,9.22
ZA,East London,-33.0153,27.9116,1614230014,66.2,88,75,6.91
KY,West Bay,19.3667,-81.4167,1614230015,79.0,1,6,10.0
CN,Fuxin,42.0156,121.6589,1614230017,32.27,15,84,5.93
ML,Koutiala,12.3917,-5.4642,1614230018,66.61,20,0,9.24
RU,Kamen'-Rybolov,44.7481,132.0403,1614230020,16.93,93,100,7.54
US,Liberal,37.0431,-100.921,1614230021,33.8,47,1,12.66
ZA,Springbok,-29.6643,17.8865,1614230023,56.75,44,0,2.91
AR,Tandil,-37.3217,-59.1332,1614229755,61.0,71,0,1.01
BR,Ilhabela,-23.7781,-45.3581,1614229740,76.64,87,100,3.02
AU,Rockhampton,-23.3833,150.5,1614230027,89.6,48,40,11.5
MX,Acapulco de Juárez,16.8634,-99.8901,1614230028,76.78,65,55,5.37
AR,Reconquista,-29.15,-59.65,1614230031,70.83,47,0,5.08
BW,Sefophe,-22.1833,27.9667,1614230033,69.8,94,0,4.61
US,Hibbing,47.4272,-92.9377,1614229872,25.72,80,90,12.66
CA,Aklavik,68.2191,-135.0107,1614230038,-31.9,75,1,10.36
CL,Coquimbo,-29.9533,-71.3436,1614229880,59.18,90,14,1.99
BR,Luís Correia,-2.8792,-41.6669,1614230041,76.93,89,59,9.55
ML,Goundam,16.4145,-3.6708,1614230042,64.67,18,0,13.98
NE,Bilma,18.6853,12.9164,1614230043,57.09,33,0,9.62
AR,San Vicente,-26.6167,-54.1333,1614230045,65.41,96,0,2.73
VN,Ha Tinh,18.3333,105.9,1614230001,85.42,52,2,4.36
RU,Vysokaya Gora,55.9128,49.3017,1614230048,-13.0,70,0,8.95
TZ,Songea,-10.6833,35.65,1614230050,68.0,88,75,0.56
RU,Deputatsky,69.3,139.9,1614230052,-25.08,86,28,0.34
US,Avera,33.194,-82.5271,1614230053,52.72,76,1,3.44
CA,Beaupré,47.0443,-70.8953,1614230054,29.71,93,100,1.14
LY,Tūkrah,32.5341,20.5791,1614230056,57.07,75,0,18.34
ES,Alhaurín el Grande,36.643,-4.6873,1614230057,53.78,94,75,3.44
CN,Jining,35.405,116.5814,1614230058,37.29,99,100,9.24
JP,Hirara,24.8,125.2833,1614230060,73.72,78,75,16.11
CN,Jieshi,22.8134,115.8257,1614230061,72.0,74,88,1.01
FR,Arrondissement de Cognac,45.5,-0.25,1614230064,49.68,81,0,8.05
TJ,Ayní,39.3941,68.5377,1614230065,28.96,74,100,9.24
ID,Sorong,-0.8833,131.25,1614230066,83.86,67,4,5.99
RU,De-Kastri,51.4667,140.7833,1614230068,8.24,91,100,9.69
BO,Villazón,-22.0866,-65.5942,1614230069,53.51,66,100,1.66
CA,Moose Factory,51.2585,-80.6094,1614230071,-4.92,71,20,5.75
TH,Bang Sai,14.2124,100.4966,1614230073,92.86,48,20,8.05
US,Westport,41.1415,-73.3579,1614229960,43.92,81,90,9.22
JP,Muroto-misakicho,33.2833,134.15,1614230075,57.2,47,40,9.22
RO,Asău,46.4333,26.4,1614230077,36.75,100,90,2.3
CD,Mangai,-4.05,19.5333,1614230078,68.36,97,48,1.23
RU,Magadan,59.5667,150.8,1614229996,4.35,86,57,6.13
GR,Néa Manoláda,38.05,21.3833,1614230082,47.71,67,0,13.8
RE,Saint-Joseph,-21.3667,55.6167,1614230000,79.83,51,0,5.75
PE,Sechura,-5.5569,-80.8222,1614230085,75.13,73,41,10.16
NC,Vao,-22.6667,167.4833,1614230087,78.49,83,0,18.19
CA,Flin Flon,54.7682,-101.865,1614230088,-3.3,93,74,1.43
SO,Hobyo,5.3505,48.5268,1614230089,78.35,68,78,16.02
CN,Rongcheng,30.634,117.8517,1614230091,51.78,89,100,7.67
BR,Xapuri,-10.6517,-68.5044,1614230092,74.5,89,100,1.79
RU,Klyuchi,52.2667,79.1667,1614230093,2.77,85,46,20.24
CN,Korla,41.7597,86.1469,1614230094,49.71,46,18,2.98
CN,Haimen,23.1935,116.6142,1614230096,69.8,73,75,4.47
GR,Gra Lygia,35.0167,25.6833,1614230098,57.0,62,4,19.53
BI,Bubanza Province,-3.1167,29.4,1614230099,68.41,77,96,1.86
RU,Kuril'sk,45.2333,147.8833,1614230100,19.67,89,91,21.27
BR,São Miguel do Araguaia,-13.275,-50.1628,1614230102,72.43,89,27,1.3
RU,Nikolayevsk-on-Amur,53.1406,140.73,1614230105,7.86,91,100,3.94
PL,Krosno Odrzańskie,52.0549,15.0988,1614230106,44.92,100,0,1.14
DO,Esperanza,19.5847,-70.9849,1614230107,70.0,84,49,4.0
ID,Mataram,-8.5833,116.1167,1614229863,87.8,66,75,14.97
BR,Itarema,-2.9248,-39.9167,1614230110,77.74,86,73,8.19
RU,Ossora,59.2353,163.0719,1614230111,-3.28,88,36,7.0
NE,Arlit,18.7369,7.3853,1614230113,62.92,24,0,10.04
US,Ascension,30.2169,-90.9001,1614230114,62.31,88,75,3.44
PF,Teahupoo,-17.8333,-149.2667,1614230116,82.2,78,75,6.91
US,Wasilla,61.5814,-149.4394,1614230117,23.56,93,90,3.44
AR,Punta Alta,-38.8759,-62.0736,1614230119,74.25,29,0,10.56
US,Homer,59.6425,-151.5483,1614230120,28.45,93,90,7.78
PW,Kloulklubed,7.0419,134.2556,1614230121,82.4,78,90,12.66
US,Weiser,44.251,-116.9693,1614230123,29.03,55,1,3.44
TR,Sinop Province,41.7711,34.8709,1614230124,33.8,86,75,2.3
BR,Santa Vitória do Palmar,-33.5189,-53.3681,1614230126,64.24,89,0,1.21
NA,Eenhana,-17.4667,16.3333,1614230127,71.6,53,100,2.3
VN,Turan,16.0678,108.2208,1614229933,82.4,61,30,6.91
EG,Aswān,24.0934,32.907,1614230129,54.01,42,0,8.9
GR,Embonas,36.2269,27.8564,1614230131,56.23,76,20,9.22
CU,Niquero,20.0431,-77.5828,1614230132,75.38,78,29,9.71
BR,Alenquer,-1.9417,-54.7383,1614230134,80.6,89,75,9.22
DE,Wurzburg,49.7878,9.9361,1614230135,47.82,71,0,5.75
PF,Fare,-16.7,-151.0167,1614230137,82.02,72,37,9.55
CL,Ancud,-41.8697,-73.8203,1614230138,59.0,79,0,4.0
AU,Corowa,-36.0333,146.3833,1614230141,81.0,31,48,3.0
BY,Forsytheganj,52.6333,29.7333,1614230142,37.31,99,100,9.44
IN,Parlākimidi,18.7667,84.0833,1614230144,94.57,16,20,3.67
PE,Pimentel,-6.8367,-79.9342,1614230146,69.01,85,85,4.0
IN,Manavālakurichi,8.1333,77.3,1614230147,87.8,70,20,5.75
US,Rome,43.2128,-75.4557,1614230148,38.86,65,90,23.02
BR,Santa Fé do Sul,-20.2111,-50.9258,1614230150,71.85,85,29,4.97
MG,Ambilobe,-13.2,49.05,1614230151,78.55,84,16,3.36
KE,Lodwar,3.1191,35.5973,1614230152,84.47,35,98,3.89
CN,Wufeng,27.45,104.8333,1614230154,52.95,87,70,6.35
ES,Puerto del Rosario,28.5004,-13.8627,1614230155,64.4,82,40,17.27
RU,Nizhniy Kuranakh,58.8353,125.4869,1614230156,-7.01,90,99,2.17
SL,Bonthe,7.5264,-12.505,1614230158,78.03,87,66,4.09
SB,Honiara,-9.4333,159.95,1614230161,84.67,76,100,7.78
PT,Godim,41.171,-7.803,1614230164,50.0,92,99,3.8
CL,Arica,-18.475,-70.3042,1614230165,65.73,90,17,1.83
RU,Zavodouspenskoye,56.8626,65.0155,1614230166,-14.8,70,61,15.66
US,Eureka,40.8021,-124.1637,1614230168,41.45,91,0,6.2
AU,Kununurra,-15.7667,128.7333,1614229904,91.4,41,40,4.61
DO,Santo Domingo,18.5001,-69.9886,1614230103,73.44,88,20,6.91
GN,Macenta,8.5435,-9.471,1614230172,67.71,92,19,0.92
KR,Seoul,37.5683,126.9778,1614229999,43.39,33,75,2.3
BR,Touros,-5.1989,-35.4608,1614230174,77.0,94,20,6.91
AR,Rafaela,-31.2503,-61.4867,1614230175,71.8,45,0,3.6
DE,Osterburg,52.7833,11.7667,1614230177,45.0,91,0,6.85
IR,Chabahar,25.2919,60.643,1614230178,76.23,67,0,5.77
RU,Kropotkin,45.4375,40.5756,1614230180,15.01,89,29,3.76
PE,San Vicente de Cañete,-13.0751,-76.3835,1614230182,70.56,80,92,2.8
CN,Moba,33.2288,105.0179,1614230183,48.4,51,82,7.27
KZ,Derzhavīnsk,51.1,66.3167,1614230185,-7.87,89,100,14.88
TD,Dourbali,11.8091,15.8632,1614230186,67.15,22,0,12.48
US,Ketchikan,55.3422,-131.6461,1614230138,33.8,100,90,16.11
ES,Muros,42.7762,-9.0603,1614230188,48.0,94,90,1.01
AR,Villa Carlos Paz,-31.4241,-64.4978,1614230190,66.92,94,0,4.61
RU,Egvekinot,66.3167,-179.1667,1614230191,-21.17,85,3,12.53
US,Mayo,38.8876,-76.5119,1614230192,47.07,81,1,14.05
US,Hamilton,39.1834,-84.5333,1614230131,37.53,75,1,8.05
ID,Kendari,-3.945,122.4989,1614230178,86.07,70,60,4.29
PT,Ponta Delgada,37.7333,-25.6667,1614230198,55.4,67,40,9.22
PL,Trzebiatów,54.0615,15.2648,1614230199,46.99,95,6,10.6
RU,Nyurba,63.2842,118.3319,1614230201,-16.1,86,99,3.38
IN,Sirūr,18.8333,74.3833,1614230202,85.57,22,0,9.17
GB,Brae,60.3964,-1.353,1614230204,44.6,76,75,24.16
BR,Santa Helena de Goiás,-17.8136,-50.5969,1614230052,70.83,89,7,3.4
PF,Tiarei,-17.5333,-149.3333,1614230206,82.2,78,75,6.91
RU,Novyy Oskol,50.7631,37.8691,1614230207,21.54,97,100,12.41
US,Pacific Grove,36.6177,-121.9166,1614230209,50.63,35,1,3.44
SO,Bandarbeyla,9.4942,50.8122,1614229988,77.29,65,62,8.93
DZ,Constantine,36.365,6.6147,1614230211,39.2,81,0,1.81
SN,Kolda,12.8833,-14.95,1614230213,62.69,44,0,2.26
AR,Necochea,-38.5473,-58.7368,1614230214,63.0,73,0,3.0
RU,Omsukchan,62.5333,155.8,1614230215,-18.27,84,100,6.62
RU,Goryachegorsk,55.4053,88.9154,1614230217,6.21,77,78,17.36
VG,Road Town,18.4167,-64.6167,1614230218,76.66,83,42,5.01
PG,Lorengau,-2.0226,147.2712,1614230220,83.68,77,99,10.04
RU,Ust'-Koksa,50.2696,85.6108,1614230221,20.07,89,100,15.55
NP,Pokhara,28.2333,83.9833,1614230223,77.47,24,0,6.15
DE,Flensburg,54.7833,9.4333,1614230224,49.69,71,73,13.8
ID,Belawan,3.7755,98.6832,1614230225,84.2,79,75,6.91
LY,Awjilah,29.1081,21.2869,1614230227,50.65,55,0,5.08
PT,Arrifes,37.7667,-25.7,1614230228,55.4,67,40,9.22
EG,Port Said,31.2565,32.2841,1614230229,57.2,94,0,5.75
US,Aurora,39.7294,-104.8319,1614230231,25.38,100,90,13.8
PK,Turbat,26.0023,63.044,1614230232,80.78,30,0,3.47
CA,Port Hardy,50.6996,-127.4199,1614230233,38.5,81,90,8.05
CA,Alberton,46.8168,-64.0654,1614230234,31.96,93,100,11.5
MY,Yong Peng,2.0136,103.0659,1614230056,90.3,48,100,5.35
RU,Khor,47.8861,134.9464,1614230237,1.81,90,17,5.68
JP,Kushima,31.4583,131.2333,1614230238,58.03,87,75,5.75
IR,Sūsangerd,31.5608,48.1831,1614230241,51.8,93,75,4.61
RU,Tokur,53.1333,132.9,1614230242,3.94,90,74,1.39
RU,Bogatyye Saby,56.0102,50.4483,1614230243,-14.33,88,72,7.38
RU,Aniva,46.7144,142.5294,1614230246,19.4,53,40,8.95
AU,Maningrida,-12.0667,134.2667,1614230247,76.95,84,100,4.9
US,Lake Shasta,40.6804,-122.3708,1614230248,45.91,22,1,19.57
KI,Bairiki Village,1.3292,172.9752,1614230250,84.2,74,75,14.97
BR,Dom Pedrito,-30.9828,-54.6731,1614230251,61.68,74,0,5.68
US,Altamont,42.2068,-121.7372,1614230252,27.37,74,1,3.44
ZW,Zvishavane,-20.3267,30.0665,1614230254,64.6,92,15,1.07
MR,Atar,20.5169,-13.0499,1614230255,68.38,23,0,15.46
PE,Huarmey,-10.0681,-78.1522,1614230256,70.54,80,22,7.38
MN,Mandalgovi,45.7625,106.2708,1614230258,37.87,53,0,15.17
KZ,Zhezkazgan,47.8043,67.7144,1614230259,-14.8,70,40,24.61
CN,Fenyi,27.8112,114.6681,1614230228,59.4,95,100,1.74
US,Hackettstown,40.854,-74.8291,1614230262,44.94,53,94,5.75
EG,Sohag,26.557,31.6948,1614230263,48.54,77,0,7.43
AO,Mossamedes,-15.1961,12.1522,1614230039,68.43,79,93,1.86
RU,Naryan-Mar,67.6713,53.087,1614230266,3.0,91,100,15.41
MR,Nouakchott,18.0858,-15.9785,1614230267,64.4,48,0,9.22
CN,Baoding,38.8511,115.4903,1614230269,49.73,39,51,8.16
BF,Manga,11.6636,-1.0731,1614230271,69.62,11,0,7.56
IN,Lingsugūr,16.1667,76.5167,1614230272,87.31,24,5,6.24
BR,Cururupu,-1.8283,-44.8683,1614230274,75.09,92,39,3.4
US,Nome,64.5011,-165.4064,1614230275,8.6,78,90,12.66
US,Kahului,20.8947,-156.47,1614230276,69.49,64,40,20.71
BR,Pitimbu,-7.4706,-34.8086,1614230278,78.8,94,75,3.44
CL,Coyhaique,-45.5752,-72.0662,1614230279,50.67,98,17,3.15
CN,Yunyang,33.4474,112.7142,1614230281,48.0,39,99,15.14
BR,Careiro da Várzea,-3.2003,-59.8119,1614230282,77.05,94,0,1.14
